,TextID,Sentiment Scores,GPE Mentions
171,7844,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Turkey
172,7928,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",America
173,9168,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
174,6455,"{'neg': 0.61, 'neu': 0.39, 'pos': 0.0, 'compound': -0.5719}",America
175,6135,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.5994}",Ukraine
176,10021,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.2263}",U.S.
177,6775,"{'neg': 0.448, 'neu': 0.552, 'pos': 0.0, 'compound': -0.8074}",US
178,8263,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.7508}",America
179,6494,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Florida
180,8521,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
181,5722,"{'neg': 0.0, 'neu': 0.647, 'pos': 0.353, 'compound': 0.4084}",Tennessee
182,8340,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
183,7006,"{'neg': 0.233, 'neu': 0.727, 'pos': 0.04, 'compound': -0.743}",Russia
184,6287,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5574}",Kuznetsov
185,7119,"{'neg': 0.227, 'neu': 0.622, 'pos': 0.151, 'compound': -0.1779}",California
186,6804,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",United States
187,5352,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Aliens
188,7771,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",D.C.
189,10454,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.0258}",Profile
190,9814,"{'neg': 0.0, 'neu': 0.774, 'pos': 0.226, 'compound': 0.5859}",Profile
191,6429,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Australia
192,6918,"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.6908}",Saudi Arabia Re-Elected
193,9825,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Mosul
194,7713,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.372}",Ethiopia
195,6995,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
196,9645,"{'neg': 0.0, 'neu': 0.79, 'pos': 0.21, 'compound': 0.7494}",Syria
197,9251,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
198,8146,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.4019}",Venezuela
199,9722,"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1531}",America
200,6170,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.5499}",Iran
201,5438,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.5423}",Tsunami
202,6329,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.8126}",New Zealand
203,9769,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.2732}",US
204,7877,"{'neg': 0.25, 'neu': 0.613, 'pos': 0.137, 'compound': -0.34}",Israel
205,5305,"{'neg': 0.19, 'neu': 0.634, 'pos': 0.176, 'compound': -0.0772}",Miami
206,8824,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iran
207,9453,"{'neg': 0.199, 'neu': 0.676, 'pos': 0.125, 'compound': -0.296}",Finland
208,5434,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Tehran
209,6665,"{'neg': 0.192, 'neu': 0.563, 'pos': 0.244, 'compound': 0.0258}",Pakistan
210,9554,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",Standing Rock
211,8925,"{'neg': 0.209, 'neu': 0.663, 'pos': 0.128, 'compound': -0.3818}",North Dakota
212,7953,"{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.6808}",Israel
213,6588,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}",FLORIDA
214,9586,"{'neg': 0.316, 'neu': 0.586, 'pos': 0.098, 'compound': -0.6786}",California
215,6299,"{'neg': 0.321, 'neu': 0.679, 'pos': 0.0, 'compound': -0.7964}",Jerusalem
216,10314,"{'neg': 0.583, 'neu': 0.417, 'pos': 0.0, 'compound': -0.7906}",Old City
217,9648,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.25}",India
218,9437,"{'neg': 0.214, 'neu': 0.66, 'pos': 0.126, 'compound': -0.3786}",Swansea City
219,9444,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.6597}",America
220,9560,"{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4404}",U.S.
221,8133,"{'neg': 0.23, 'neu': 0.618, 'pos': 0.152, 'compound': -0.34}",America
222,10548,"{'neg': 0.376, 'neu': 0.485, 'pos': 0.139, 'compound': -0.5994}",North Carolina
223,10363,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}",Paris
224,5685,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.5859}",New Moon
225,6128,"{'neg': 0.201, 'neu': 0.575, 'pos': 0.224, 'compound': -0.1531}",U.S.
226,7303,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Syria
227,8367,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Britain
228,9553,"{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.6249}",America
229,6917,"{'neg': 0.369, 'neu': 0.631, 'pos': 0.0, 'compound': -0.6249}",New York
230,7811,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.6249}",Russia
231,7529,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",France
232,8353,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.25}",Morocco
233,10250,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Spain
234,8696,"{'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.5859}",Israel
235,9749,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Israel
236,7253,"{'neg': 0.347, 'neu': 0.502, 'pos': 0.151, 'compound': -0.6486}",Mosul
237,5869,"{'neg': 0.169, 'neu': 0.465, 'pos': 0.366, 'compound': 0.5267}",California
238,6369,"{'neg': 0.103, 'neu': 0.761, 'pos': 0.136, 'compound': 0.1531}",America
239,7701,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Standing Rock
240,6113,"{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.4588}",Jynxster
241,9696,"{'neg': 0.594, 'neu': 0.406, 'pos': 0.0, 'compound': -0.5255}",Russia
242,10124,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}",Paris
243,9390,"{'neg': 0.361, 'neu': 0.508, 'pos': 0.131, 'compound': -0.804}",Russia
244,8552,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}",Germany
245,7863,"{'neg': 0.431, 'neu': 0.569, 'pos': 0.0, 'compound': -0.6486}",US
246,8614,"{'neg': 0.409, 'neu': 0.591, 'pos': 0.0, 'compound': -0.807}",Cleveland
247,10518,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",US
248,9231,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Russia
249,8088,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Florida
250,9307,"{'neg': 0.183, 'neu': 0.817, 'pos': 0.0, 'compound': -0.5562}",Abu Dhabi
251,8483,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Wales
252,10531,"{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.5423}",Britain
253,5330,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.1531}",Russia
254,6975,"{'neg': 0.26, 'neu': 0.74, 'pos': 0.0, 'compound': -0.2755}",Turkey
255,9618,"{'neg': 0.4, 'neu': 0.6, 'pos': 0.0, 'compound': -0.4588}",Raqqa
256,7589,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.4215}",Guatemala
257,9640,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iceland
258,8059,"{'neg': 0.437, 'neu': 0.563, 'pos': 0.0, 'compound': -0.4767}",D.C.
259,8692,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Washington DC
260,9614,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.2732}",US
261,7147,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Iran
262,10396,"{'neg': 0.529, 'neu': 0.471, 'pos': 0.0, 'compound': -0.5423}",Yemen
263,10442,"{'neg': 0.236, 'neu': 0.764, 'pos': 0.0, 'compound': -0.5267}",America
264,9738,"{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.8225}",Russia
265,7410,"{'neg': 0.211, 'neu': 0.789, 'pos': 0.0, 'compound': -0.34}",US
266,5551,"{'neg': 0.356, 'neu': 0.532, 'pos': 0.112, 'compound': -0.6798}",US
